project_id,ScenarioID,Region,implementation_period,avg_annual_land_building,land_building_year50,n_years_land_building_positive,BaseID,ProjectName,TypeCode,display_id,HSI_SPSTA,HSI_OYSTE,cost_total_min,cost_total_max,freshmarsh_benefit,project_freshmarsh_area_m2,fwoa_freshmarsh_area_m2,n_freshmarsh_years
1080000,8,Terrebonne,1,90700205.76923077,14149232100.0,140,1080000,Atchafalaya River Diversion,DI,108,-0.011029133951760889,-0.008383053622042487,794345543.0258552,794345543.0258552,,,,
2860000,8,Terrebonne,1,14747573.076923076,766873800.0,44,2860000,North Lake Mechant Marsh Creation,MC,286a,0.00119861401617527,0.0,1143621311.2027736,1143621311.2027736,,35087400.0,,1
1390100,7,Barataria,1,-5176973.076923077,-269202600.0,4,1390100,Increase Atchafalaya Flow to Terrebonne - Alternate Regime,DI,139b,,,593427172.9313804,593427172.9313804,,,,
3330000,7,Barataria,1,1011894.2307692308,52618500.0,42,3330000,Three Ridge Restoration,RR,333,-0.022995304602843065,-0.017725417315959932,49134539.342137374,49134539.342137374,,,,
3110000,7,Pontchartrain,1,-27519282.692307692,-1431002700.0,8,3110000,Black and Eloi Bay Ridge and Marsh Creation,IP,311,-0.0034220218658447266,0.0259168157844167,767187214.6953349,767187214.6953349,,6624900.0,,1
60000,8,Pontchartrain,1,-28477073.076923076,-1480807800.0,7,60000,Lower Breton Diversion,DI,006,0.0018322084631238664,-0.0011027705456529344,511541648.86778766,511541648.86778766,,,,
900100,7,Barataria,1,8206857.692307692,426756600.0,40,900100,Large-Scale Barataria Marsh Creation,MC,090b,-0.02745418321518671,0.014236644963207453,949830167.4796675,949830167.4796675,,48123000.0,,1
3280000,8,Barataria,1,33666646.15384615,1750665600.0,39,3280000,Bayou Barataria Ridge and Marsh Creation,IP,328,-0.03498057933414683,-0.004725787788629532,1200230974.6380131,1200230974.6380131,,46005300.0,,1
2860100,8,Terrebonne,2,101018756.25,3232600200.0,32,2860100,North Lake Mechant Marsh Creation,MC,286b,,,625815120.0599389,625815120.0599389,,16077600.0,,1
3450000,8,Terrebonne,1,1695773.076923077,88180200.0,39,3450000,Avoca Island Marsh Creation,MC,345,0.0027797696395562245,0.0,166322793.47238177,166322793.47238177,,3149100.0,,1
1290000,7,Terrebonne,2,59364190.90909091,1959018300.0,32,1290000,Small Bayou LaPointe Ridge Restoration,RR,129,,,,,,,,
3520000,7,Chenier Plain,1,-36645421.15384615,-1905561900.0,0,3520000,Wildhorse Marsh Creation,MC,352,-0.002183765172958374,-0.005780514043111067,76484525.67918965,76484525.67918965,,13781700.0,,1
3230000,8,Terrebonne,1,-2400005.769230769,-124800300.0,13,3230000,Edgard Diversion,DI,323,-0.0003803037106990814,0.012053614109754562,783656345.1616608,783656345.1616608,,,,
3050000,8,Barataria,1,8495584.615384616,441770400.0,22,3050000,Western Maurepas Sediment Diversion,DI,305,-0.027953802393032953,0.020526144167651302,1516071056.0792246,1516071056.0792246,,,,
3480000,8,Chenier Plain,2,-57411787.5,-1837177200.0,7,3480000,Calcasieu/Sabine Basin Hydrologic Restoration,HR,348,,,,,,,,
2430000,8,Terrebonne,1,-3821244.230769231,-198704700.0,18,2430000,Ama Sediment Diversion,DI,243,-0.012708149173042992,0.05043588365827288,1324140723.1901565,1324140723.1901565,,,,
3620000,7,Terrebonne,1,142789673.07692307,7425063000.0,48,3620000,Atchafalaya Diversions,DI,362,-0.013235610264998216,-0.004985498550992746,794345543.0258551,794345543.0258551,,,,
3430000,7,Central Coast,1,-5290303.846153846,-275095800.0,12,3430000,Southwest Pass Tidal Prism Control and Acadiana Bay Hydrologic Restoration,IP,343,0.007404256950725208,0.00013375081695043124,1014989617.045904,1014989617.045904,,7100100.0,,1
3250100,7,Barataria,1,14176921.153846154,737199900.0,36,3250100,Lower Barataria Landbridge - West,LB,325b,-0.015944307265074356,-0.004005600782957944,488175749.8646581,488175749.8646581,,14437800.0,,1
2930200,7,Chenier Plain,1,11964054.807692308,2488523400.0,138,2930200,Freshwater Bayou North Marsh Creation,MC,293c,-0.0020212188452303765,0.011783722589707233,159840766.4504673,159840766.4504673,,40654800.0,,1
2930000,8,Chenier Plain,1,-56810751.92307692,-2954159100.0,0,2930000,Freshwater Bayou North Marsh Creation,MC,293a,-0.0020643845200538635,0.005884382128715515,524124932.08022785,524124932.08022785,,40523400.0,,1
3230000,7,Pontchartrain,1,13818426.923076924,718558200.0,52,3230000,Edgard Diversion,DI,323,-0.02045978063886816,0.0038655583675091085,783656345.1616607,783656345.1616607,,,,
3340000,8,Barataria,1,73491910.09615384,15286317300.0,191,3340000,Bayou L’Ours Ridge Restoration,RR,334,-0.0007033289849073037,-0.00013292152122412314,7788929.8474137895,7788929.8474137895,,,,
2310000,7,Central Coast,2,28731054.545454547,948124800.0,32,2310000,Cheniere au Tigre Ridge Restoration,RR,231,,,,,,,,
3160000,8,Pontchartrain,2,4320311.029411765,587562300.0,116,3160000,Chandeleur Sound Island Restoration,MC,316,-0.05165114654944493,0.023664525638406094,73962791.32009774,73962791.32009774,,1961100.0,,1
3220000,8,Barataria,1,16898676.923076924,878731200.0,26,3220000,Freshwater Delivery to Western Barataria,DI,322,-0.024752546759212717,-0.014035463333129883,,,,,,
3000100,8,Chenier Plain,2,10987358.823529411,1494280800.0,100,3000100,West Sabine Refuge Marsh Creation,MC,300b,-0.0015318313470253577,-0.0004948658438829276,847128008.6496115,847128008.6496115,,31203000.0,,1
3110000,8,Pontchartrain,2,-31601137.5,-1011236400.0,13,3110000,Black and Eloi Bay Ridge and Marsh Creation,IP,311,,,,,,6624900.0,,1
3050000,7,Pontchartrain,1,-48522911.538461536,-2523191400.0,3,3050000,Western Maurepas Sediment Diversion,DI,305,-0.015702911615371705,-0.003775811825807278,1516071056.0792246,1516071056.0792246,,,,
3260200,7,Barataria,2,37351827.27272727,1232610300.0,32,3260200,Mid-Barataria Landbridge - East,LB,326c,,,,,,26043300.0,,1
3250000,8,Barataria,1,50966100.0,2650237200.0,42,3250000,Lower Barataria Landbridge,LB,325a,-0.027003401517868043,0.0022852985809246698,1712857075.7722015,1712857075.7722015,,42304500.0,,1
2850000,8,Terrebonne,2,92122087.5,2947906800.0,32,2850000,South Terrebonne Marsh Creation,MC,285,,,,,,47139300.0,,1
3160000,7,Pontchartrain,1,12092313.461538462,628800300.0,52,3160000,Chandeleur Sound Island Restoration,MC,316,-0.023554048117469337,0.19102782756090164,,,,2198700.0,,1
1080000,7,Barataria,1,51161.53846153846,7981200.0,83,1080000,Atchafalaya River Diversion,DI,108,-0.0025667758812581687,0.00046991020804498253,794345543.0258552,794345543.0258552,,,,
3500000,8,Chenier Plain,1,-32616432.692307692,-1696054500.0,0,3500000,Cameron-Creole Hydrologic Restoration Improvements,HR,350,0.0003566510147518582,-0.0010492503643035889,10627182.59842901,10627182.59842901,,19395000.0,,1
3120000,7,Pontchartrain,2,-12260645.454545455,-404601300.0,0,3120000,Manchac Wetland Restoration and Maurepas Landbridge,IP,312,,,,,,96302700.0,,1
2450000,8,Barataria,1,3293567.3076923075,171265500.0,52,2450000,LaBranche Hydrologic Restoration,HR,245,-0.0057481503486633305,0.0028243644369973075,122456533.32283677,122456533.32283677,,27411300.0,,1
3350100,7,Terrebonne,2,113079000.0,3731607000.0,32,3350100,Eastern Terrebonne Landbridge - West,LB,335b,,,,,,9971100.0,,1
2430000,7,Pontchartrain,1,-26213780.769230768,-1363116600.0,10,2430000,Ama Sediment Diversion,DI,243,-0.00717240571975708,0.021155369157592457,1324140723.1901567,1324140723.1901567,,,,
60000,7,Pontchartrain,2,-89496627.27272727,-2953388700.0,0,60000,Lower Breton Diversion,DI,006,,,,,,,,
